ANNO;PROV;COMUNE;TOT_INC;TOT_INC_MORTALI;TOT_FERITI;TOT_MORTI;TOT_VEIC_COINVOLTI;TOT_VEIC_CONDUC_IGNOTO;TOT_CONDUC;CONDUC_FEMMINE;CONDUC_FERITI;CONDUC_MORTI_ENTRO24h;CONDUC_IGNOTI;CONDUC_ETA_0-14_INC;CONDUC_ETA_15-19_INC;CONDUC_ETA_20-64_INC;CONDUC_ETA_65+_INC;CONDUC_ETA_0-14_FERITI;CONDUC_ETA_15-19_FERITI;CONDUC_ETÀ_20-64_FERITI;CONDUC_ETA_65+_FERITI;CONDUC_ETA_0-14_MORTI;CONDUC_ETA_15-19_MORTI;CONDUC_ETA_20-64_MORTI;CONDUC_ETA_65+_MORTI;PASSEGGERI_FERITI;PASSEGGERI_MORTI;PEDONI_FERITI;PEDONI_MORTI;STRADE_URBANE_INC;STRADE_URBANE_FERITI;STRADE_URBANE_MORTI;STRADE_EXTRAURB_INC;STRADE_EXTRAURB_FERITI;STRADE_EXTRAURB_MORTI;AUTOSTR_INC;AUTOSTR_FERITI;AUTOSTR_MORTI;INC_TRA_VEIC_IN_MARCIA;INC_TRA_VEIC_E_PEDONE;INC_TRA_VEIC_ISOLATI;WEEKEND_INC;FERIALI_INC;NOTTE_INC;GIORNO_INC;ORE_07-09_INC;ORE_17-19_INC;SERENO_INC;NEBBIA_INC;PIOGGIA-NEVE_INC;VEIC_COINVOLTI_AUTOVET_(PRIV_E_PUB);VEIC_COINVOLTI_AUTOCAR_E_SIMILI;VEIC_COINVOLTI_MOTOCICLI;VEIC_COINVOLTI_VELOCIPEDI
2000;MILANO;CALVIGNASCO;2;1;1;1;3;0;3;0;0;2;0;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;0;2;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;2;0;0;2;0;1;0
2000;MILANO;CAMBIAGO;14;1;21;3;30;3;27;4;13;14;0;0;0;25;1;0;0;13;0;0;0;0;0;6;3;2;0;4;4;0;2;2;0;8;15;3;10;2;2;2;12;5;9;4;2;10;0;2;19;7;0;0
2000;MILANO;CANEGRATE;43;0;52;0;83;0;83;33;44;39;0;0;7;68;4;0;6;35;2;0;0;0;0;6;0;2;0;43;52;0;0;0;0;0;0;0;35;2;6;10;33;3;40;6;16;36;0;6;60;2;15;6
2000;MILANO;CARPIANO;11;2;23;2;29;1;28;3;11;15;0;0;0;26;1;0;0;11;0;0;0;2;0;12;0;0;0;1;5;0;10;18;2;0;0;0;11;0;0;4;7;4;7;2;1;9;0;0;23;5;0;0
2000;MILANO;CARUGATE;53;0;77;0;111;3;108;19;49;59;0;0;6;97;3;0;5;41;1;0;0;0;0;27;0;1;0;23;35;0;21;29;0;9;13;0;41;1;11;18;35;6;47;13;15;40;1;8;79;10;14;2
2000;MILANO;CASARILE;7;0;9;0;12;0;12;8;9;3;0;0;0;12;0;0;0;9;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;1;1;0;5;0;2;2;5;3;4;0;2;5;1;1;9;1;2;0
2000;MILANO;CASOREZZO;7;0;8;0;14;0;14;4;6;8;0;0;1;11;2;0;1;4;1;0;0;0;0;2;0;0;0;6;7;0;1;1;0;0;0;0;3;0;4;1;6;1;6;0;2;4;1;1;12;0;1;1
2000;MILANO;CASSANO D'ADDA;108;1;152;1;216;1;214;40;103;111;1;1;16;176;11;1;15;78;4;0;0;0;0;42;0;7;1;87;115;1;21;37;0;0;0;0;83;6;19;37;71;19;89;16;30;68;3;24;153;10;38;10
2000;MILANO;CASSINA DE' PECCHI;20;0;23;0;36;0;36;13;19;17;0;1;5;27;3;0;4;13;2;0;0;0;0;2;0;2;0;20;23;0;0;0;0;0;0;0;16;2;2;1;19;1;19;2;7;19;0;1;24;2;8;2
2000;MILANO;CASSINETTA DI LUGAGNANO;2;0;2;0;2;0;2;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0;0;0;1;1;0;2;0;2;2;0;2;0;0;1;0;0;1
2000;MILANO;CASTANO PRIMO;47;2;59;2;92;1;91;19;45;44;0;0;10;75;6;0;8;34;3;0;1;1;0;12;0;2;0;36;44;1;11;15;1;0;0;0;41;2;4;16;31;3;44;8;12;39;1;6;56;6;20;8
